,Stand (cm t.o.v. NAP)
2010-09-14,11.22
2010-09-15,11.23
2010-09-16,11.23
2010-09-17,11.21
2010-09-18,11.19
2010-09-19,11.21
2010-09-20,11.21
2010-09-21,11.200000000000001
2010-09-22,11.17
2010-09-23,11.19
2010-09-24,11.22
2010-09-25,11.200000000000001
2010-09-26,11.18
2010-09-27,11.23
2010-09-28,11.23
2010-09-29,11.17
2010-09-30,11.200000000000001
2010-10-01,11.200000000000001
2010-10-02,11.25
2010-10-03,11.21
2010-10-04,11.21
2010-10-05,11.27
2010-10-06,11.24
2010-10-07,11.21
2010-10-08,11.19
2010-10-09,11.19
2010-10-10,11.21
2010-10-11,11.18
2010-10-12,11.18
2010-10-13,11.17
2010-10-14,11.18
2010-10-15,11.18
2010-10-16,11.18
2010-10-17,11.18
2010-10-18,11.21
2010-10-19,11.200000000000001
2010-10-20,11.21
2010-10-21,11.21
2010-10-22,11.18
2010-10-23,11.19
2010-10-24,11.21
2010-10-25,11.200000000000001
2010-10-26,11.18
2010-10-27,11.18
2010-10-28,11.21
2010-10-29,11.200000000000001
2010-10-30,11.17
2010-10-31,11.17
2010-11-01,11.19
2010-11-02,11.200000000000001
2010-11-03,11.17
2010-11-04,11.17
2010-11-05,11.17
2010-11-06,11.18
2010-11-07,11.18
2010-11-08,11.24
2010-11-09,11.22
2010-11-10,11.28
2010-11-11,11.32
2010-11-12,11.4
2010-11-13,11.56
2010-11-14,11.91
2010-11-15,12.65
2010-11-16,14.13
2010-11-17,13.69
2010-11-18,13.14
2010-11-19,12.66
2010-11-20,12.18
2010-11-21,11.93
2010-11-22,11.82
2010-11-23,11.73
2010-11-24,11.63
2010-11-25,11.57
2010-11-26,11.51
2010-11-27,11.48
2010-11-28,11.46
2010-11-29,11.43
2010-11-30,11.39
2010-12-01,11.38
2010-12-02,11.38
2010-12-03,11.36
2010-12-04,11.35
2010-12-05,11.34
2010-12-06,11.41
2010-12-07,11.36
2010-12-08,11.34
2010-12-09,11.34
2010-12-10,11.34
2010-12-11,11.38
2010-12-12,11.43
2010-12-13,11.57
2010-12-14,11.61
2010-12-15,11.6
2010-12-16,11.63
2010-12-17,11.64
2010-12-18,11.620000000000001
2010-12-19,11.57
2010-12-20,11.52
2010-12-21,11.49
2010-12-22,11.47
2010-12-23,11.48
2010-12-24,11.51
2010-12-25,11.6
2010-12-26,11.64
2010-12-27,11.67
2010-12-28,11.620000000000001
